#label	score
PTPRS	NaN
OGT	NaN
VCL	NaN
VHL	NaN
SFRS7	NaN
RAB5C	NaN
EEA1	NaN
NASP	NaN
UBE2H	NaN
LAMB1	NaN
WNT2	NaN
WNT3	NaN
BRAP	NaN
ANP32A	3.30325
KLRC4	NaN
PRDM2	NaN
NAT1	NaN
RAD21	NaN
U2AF1	NaN
SUMO1	NaN
NCOA3	NaN
CLPP	NaN
MADCAM1	NaN
SF1	NaN
SLC3A2	NaN
KPNA5	NaN
FXR1	NaN
SPTB	NaN
ZFP36	NaN
MARS	NaN
MAFK	NaN
NRF1	NaN
RCN2	NaN
ST8SIA4	NaN
USP7	NaN
SEMA3B	NaN
CXCR4	NaN
IL1RN	NaN
DAP3	NaN
PTP4A1	NaN
RGS1	NaN
ZA20D2	NaN
UBE2A	NaN
TRIM26	NaN
TRIM25	NaN
ZBTB16	NaN
ZNF42	NaN
TYROBP	NaN
WASPIP	NaN
ZAP70	NaN
NFATC4	NaN
YWHAE	NaN
SFRS10	NaN
CLK3	NaN
CTPS	NaN
SPTBN1	NaN
RASGRF1	NaN
TAZ	NaN
UCP2	NaN
DHX15	NaN
RGS7	NaN
WEE1	NaN
TSC2	NaN
YES1	NaN
TYRO3	NaN
RPL10	NaN
XRCC5	NaN
WRN	NaN
VAV1	NaN
XRCC4	NaN
LIG3	NaN
XPO1	NaN
XPC	NaN
BTN1A1	NaN
XBP1	NaN
POLD2	0.400679
SFRP1	NaN
RYK	NaN
TBL1X	NaN
WAS	NaN
VWF	NaN
VIM	NaN
VIL2	NaN
VBP1	NaN
VEGFC	NaN
VEGFB	NaN
VEGF	NaN
VDR	NaN
HK1	NaN
VCAM1	NaN
VAV2	NaN
TUBA1	NaN
VASP	NaN
LPP	NaN
USF2	NaN
UROS	NaN
TP53BP2	NaN
UCK2	NaN
CYP3A4	NaN
UGP2	NaN
CIDEA	NaN
CRHBP	NaN
SP100	NaN
UBE3A	NaN
SOX4	NaN
UBE2D2	NaN
TSG101	NaN
TYR	NaN
GAS6	NaN
TYMS	NaN
TYK2	NaN
TXK	NaN
TNFSF4	NaN
TBCE	NaN
TM4SF1	NaN
DNAJC7	NaN
TSHR	NaN
ITPR3	NaN
PTPN13	NaN
TRAF6	NaN
TRAF5	NaN
TRAF3	NaN
TRAF1	NaN
TRAF2	-1.24696
ALPL	NaN
TRIM37	NaN
TNFRSF1B	NaN
TNFRSF17	NaN
CCL11	NaN
TPI1	NaN
TPD52	NaN
PFDN5	NaN
PRIM1	NaN
SP3	NaN
IFI16	NaN
RRM2	NaN
TFDP1	NaN
TP53	-3.23997
TOP2B	NaN
TOP1	NaN
TNFRSF1A	NaN
THBS1	NaN
TNFAIP3	NaN
TNFAIP1	NaN
TLR4	NaN
TLR1	NaN
TLE4	NaN
POLE2	2.55266
CCL18	NaN
